codepoint,strokes,radical_codepoint,radical_strokes
20666,13,20154,2
20667,13,20154,2
20668,13,20154,2
131894,13,20154,2
20669,13,20154,2
20670,13,20154,2
20671,13,20154,2
131895,13,20154,2
13439,13,20154,2
20672,13,20154,2
13440,13,20154,2
20673,13,20154,2
20674,13,20154,2
20675,13,20154,2
20676,13,20154,2
20677,13,20154,2
20678,13,20154,2
13441,13,20154,2
20679,13,20154,2
20680,13,20154,2
131896,13,20154,2
20681,13,20154,2
20682,13,20154,2
20683,13,20154,2
131897,13,20154,2
131898,13,20154,2
131899,13,20154,2
20684,13,20154,2
131900,13,20154,2
131901,13,20154,2
131902,13,20154,2
131903,13,20154,2
131935,13,20154,2
131904,13,20154,2
131944,13,20154,2
131947,13,20154,2
131943,13,20154,2
131931,13,20154,2
131930,13,20154,2
131946,13,20154,2
131945,13,20154,2
131907,13,20154,2
131948,13,20154,2
131927,13,20154,2
131908,13,20154,2
131933,13,20154,2
131950,14,20154,2
131951,14,20154,2
20686,14,20154,2
20687,14,20154,2
13443,14,20154,2
131952,14,20154,2
20688,14,20154,2
20689,14,20154,2
20690,14,20154,2
20691,14,20154,2
131953,14,20154,2
131954,14,20154,2
20692,14,20154,2
20693,14,20154,2
20694,14,20154,2
20695,14,20154,2
20696,14,20154,2
20697,14,20154,2
13444,14,20154,2
20698,14,20154,2
20699,14,20154,2
20700,14,20154,2
20701,14,20154,2
131955,14,20154,2
20702,14,20154,2
20703,14,20154,2
20704,14,20154,2
20705,14,20154,2
13445,14,20154,2
20706,14,20154,2
20707,14,20154,2
20708,14,20154,2
20709,14,20154,2
13446,14,20154,2
20710,14,20154,2
13447,14,20154,2
20711,14,20154,2
13448,14,20154,2
20712,14,20154,2
131956,14,20154,2
131957,14,20154,2
20713,14,20154,2
20714,14,20154,2
131958,14,20154,2
13449,14,20154,2
20715,14,20154,2
20716,14,20154,2
13450,14,20154,2
20717,14,20154,2
131959,14,20154,2
13451,14,20154,2
131960,14,20154,2
20718,14,20154,2
20719,14,20154,2
20720,14,20154,2
131961,14,20154,2
13452,14,20154,2
131962,14,20154,2
132019,14,20154,2
132015,14,20154,2
132002,14,20154,2
132016,14,20154,2
131999,14,20154,2
132017,14,20154,2
132014,14,20154,2
131963,14,20154,2
132013,14,20154,2
131998,14,20154,2
132018,14,20154,2
132001,14,20154,2
13442,14,20154,2
20725,15,20154,2
20726,15,20154,2
20727,15,20154,2
20728,15,20154,2
132023,15,20154,2
20729,15,20154,2
13457,15,20154,2
20730,15,20154,2
20731,15,20154,2
132024,15,20154,2
20732,15,20154,2
20733,15,20154,2
132025,15,20154,2
20735,15,20154,2
20736,15,20154,2
13458,15,20154,2
20737,15,20154,2
20738,15,20154,2
20739,15,20154,2
20740,15,20154,2
13459,15,20154,2
20741,15,20154,2
132026,15,20154,2
132027,15,20154,2
132028,15,20154,2
132029,15,20154,2
13460,15,20154,2
132030,15,20154,2
20742,15,20154,2
20743,15,20154,2
20744,15,20154,2
20745,15,20154,2
13461,15,20154,2
132031,15,20154,2
20746,15,20154,2
132032,15,20154,2
20747,15,20154,2
20748,15,20154,2
132033,15,20154,2
132034,15,20154,2
132035,15,20154,2
132066,15,20154,2
132068,15,20154,2
132059,15,20154,2
132052,15,20154,2
132065,15,20154,2
132039,15,20154,2
132067,15,20154,2
132040,15,20154,2
132036,15,20154,2
13462,15,20154,2
20749,15,20154,2
20752,16,20154,2
13465,16,20154,2
20753,16,20154,2
132072,16,20154,2
132073,16,20154,2
132074,16,20154,2
20754,16,20154,2
132075,16,20154,2
13466,16,20154,2
20755,16,20154,2
20756,16,20154,2
13467,16,20154,2
132076,16,20154,2
20757,16,20154,2
132077,16,20154,2
20758,16,20154,2
132078,16,20154,2
132079,16,20154,2
13468,16,20154,2
20759,16,20154,2
20760,16,20154,2
20761,16,20154,2
20762,16,20154,2
20763,16,20154,2
20764,16,20154,2
20765,16,20154,2
132080,16,20154,2
132102,16,20154,2
132093,16,20154,2
20767,17,20154,2
20768,17,20154,2
132104,17,20154,2
13469,17,20154,2
20769,17,20154,2
132105,17,20154,2
20770,17,20154,2
13470,17,20154,2
20771,17,20154,2
20772,17,20154,2
20773,17,20154,2
132106,17,20154,2
20774,17,20154,2
20775,17,20154,2
20776,17,20154,2
20777,17,20154,2
20778,17,20154,2
132107,17,20154,2
132108,17,20154,2
132109,17,20154,2
20779,17,20154,2
132110,17,20154,2
132111,17,20154,2
132129,17,20154,2
20780,17,20154,2
132128,17,20154,2
132130,17,20154,2
13471,18,20154,2
132131,18,20154,2
20781,18,20154,2
20782,18,20154,2
132132,18,20154,2
20783,18,20154,2
13472,18,20154,2
132133,18,20154,2
20784,18,20154,2
20785,18,20154,2
132134,18,20154,2
132135,18,20154,2
20786,18,20154,2
132153,18,20154,2
132136,18,20154,2
132154,18,20154,2
132147,18,20154,2
132149,18,20154,2
132155,19,20154,2
132156,19,20154,2
132157,19,20154,2
132158,19,20154,2
20787,19,20154,2
20788,19,20154,2
132159,19,20154,2
13473,19,20154,2
20789,19,20154,2
132173,20,20154,2
13476,20,20154,2
20790,20,20154,2
13477,20,20154,2
13478,20,20154,2
132178,20,20154,2
132174,20,20154,2
132176,20,20154,2
132190,20,20154,2
20791,21,20154,2
13479,21,20154,2
20792,21,20154,2
132183,21,20154,2
20793,21,20154,2
132184,21,20154,2
20794,21,20154,2
132185,21,20154,2
132186,21,20154,2
132193,21,20154,2
132187,21,20154,2
20795,22,20154,2
20796,22,20154,2
132201,22,20154,2
132202,23,20154,2
20797,23,20154,2
132203,23,20154,2
132207,23,20154,2
13481,23,20154,2
20798,24,20154,2
132208,24,20154,2
13482,26,20154,2
132210,26,20154,2
20799,2,20799,2
20800,3,20799,2
20801,4,20799,2
20802,4,20799,2
20803,4,20799,2
132214,4,20799,2
132215,5,20799,2
20804,5,20799,2
132216,5,20799,2
20805,6,20799,2
132217,6,20799,2
20806,6,20799,2
20808,6,20799,2
20809,6,20799,2
20810,6,20799,2
132218,6,20799,2
132219,6,20799,2
13483,6,20799,2
20811,7,20799,2
20812,7,20799,2
132221,7,20799,2
20813,7,20799,2
20814,7,20799,2
132222,7,20799,2
132223,7,20799,2
20815,7,20799,2
132224,7,20799,2
20818,8,20799,2
20819,8,20799,2
20820,8,20799,2
20821,8,20799,2
132227,8,20799,2
132228,8,20799,2
132229,8,20799,2
132230,8,20799,2
132234,8,20799,2
132236,9,20799,2
20823,9,20799,2
132237,9,20799,2
20824,9,20799,2
132239,9,20799,2
20826,10,20799,2
13485,10,20799,2
20828,11,20799,2
20831,12,20799,2
132258,12,20799,2
20834,14,20799,2
132263,14,20799,2
132270,14,20799,2
132264,14,20799,2
132272,15,20799,2
132278,15,20799,2
132273,15,20799,2
132280,16,20799,2
132286,16,20799,2
132298,18,20799,2
132294,18,20799,2
20836,21,20799,2
